규칙,1. 쉼표 사용X. 마침표만 쓰기. 줄바꿈 Alt Enter로 띄우지 말고 \n으로 띄움. 추가할 시 언어 모두 채우기. 2. 한번 정한 키 값 수정금지. 3. 키 값 첫 글자 대문자. 연결은 '_'으로. [위치]_[기능명] 꼴로 유동적으로 작성. 4. 변할 수 있는 문자열이나 값은 '{0}님이 {1}의 데미지를 입었습니다' 이런 꼴로 작성,,
Key,English,Korean,주석(필수 X)
Pause_Continue_Button,Continue,계속하기,UI 옵션창의 Continue 버튼
Pause_Setting_Button,Setting,설정,
Pause_Main_Button,Main,메인으로,
Pause_Title_Text,Pause,일시정지,
Setting_Title_Text,Setting,세팅,
Setting_Language_Text,Language,언어,
Setting_Volume_Text,Volume,볼륨,
Setting_Return_Text,Return,돌아가기,
HUD_MoveCount_Text,Move {0} / {1},이동횟수 {0} / {1},
HUD_Undo_Text,Undo,되돌리기,
HUD_Tag_Text,Tag,태그,
